trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
1,"{'vwap_dev_threshold': 0.0028167353525797574, 'stop_loss': 0.005938743523952335, 'take_profit': 0.025988191983915332, 'max_hold_minutes': 49, 'min_volume': 4092, 'trailing_stop': 0.007627834640417458, 'max_trades_per_day': 3}",0.00030799947270001036,0.0,6,-0.0002501763316685627,-0.0
2,"{'vwap_dev_threshold': 0.003699495817871672, 'stop_loss': 0.008247587196410914, 'take_profit': 0.012265815588293712, 'max_hold_minutes': 28, 'min_volume': 4092, 'trailing_stop': 0.00349810589211401, 'max_trades_per_day': 5}",8.26687348399021e-05,0.6666666666666666,6,3.875367120846383e-06,5.166728998865949e-06
7,"{'vwap_dev_threshold': 0.0010636488321702081, 'stop_loss': 0.019482252410116047, 'take_profit': 0.022809616098919776, 'max_hold_minutes': 25, 'min_volume': 2361, 'trailing_stop': 0.006953488525611738, 'max_trades_per_day': 4}",0.0002769302917828585,0.14285714285714285,7,-0.00021828872749072293,-6.235093620849315e-05
8,"{'vwap_dev_threshold': 0.0037566731183131244, 'stop_loss': 0.012203046021043922, 'take_profit': 0.02463978363223216, 'max_hold_minutes': 17, 'min_volume': 846, 'trailing_stop': 0.005605159582205574, 'max_trades_per_day': 2}",0.00024960147188462785,0.4,5,-0.00014280933775798497,-0.00011421895386966538
10,"{'vwap_dev_threshold': 0.0026020929251750536, 'stop_loss': 0.010785686198235766, 'take_profit': 0.010100218236783778, 'max_hold_minutes': 34, 'min_volume': 4996, 'trailing_stop': 0.009966613122754417, 'max_trades_per_day': 5}",0.000335761411910453,0.16666666666666666,6,-0.00025674563973068277,-8.555314481739497e-05
11,"{'vwap_dev_threshold': 0.0026604907953765274, 'stop_loss': 0.005065937374094182, 'take_profit': 0.01798164725161987, 'max_hold_minutes': 60, 'min_volume': 3908, 'trailing_stop': 0.0037307738238845176, 'max_trades_per_day': 3}",0.00027962965107703304,0.25,8,-0.00023634804440882232,-0.00011814097724381577
12,"{'vwap_dev_threshold': 0.002038167728948226, 'stop_loss': 0.006593551748515251, 'take_profit': 0.017865204022020145, 'max_hold_minutes': 35, 'min_volume': 4439, 'trailing_stop': 0.00840204191196332, 'max_trades_per_day': 3}",0.00028580062848790723,0.2,5,-0.00024055348172888805,-9.619389255705e-05
13,"{'vwap_dev_threshold': 0.003177519522189449, 'stop_loss': 0.009197152018923148, 'take_profit': 0.028753078970871357, 'max_hold_minutes': 41, 'min_volume': 3126, 'trailing_stop': 0.003013256298913796, 'max_trades_per_day': 5}",0.0001082123788214088,0.625,8,4.953864974656577e-07,6.191661131429137e-07
14,"{'vwap_dev_threshold': 0.003313888207138663, 'stop_loss': 0.009313418380413305, 'take_profit': 0.03076773980986622, 'max_hold_minutes': 40, 'min_volume': 3280, 'trailing_stop': 0.003014833316547659, 'max_trades_per_day': 5}",0.0001082123788214088,0.625,8,4.953864974656577e-07,6.191661131429137e-07
15,"{'vwap_dev_threshold': 0.0018028886596386845, 'stop_loss': 0.008671709169420576, 'take_profit': 0.015526899868022094, 'max_hold_minutes': 30, 'min_volume': 2946, 'trailing_stop': 0.003238755095008346, 'max_trades_per_day': 5}",0.00019748535132338763,0.14285714285714285,14,-0.00018891725128042294,-5.3965697968766506e-05
