trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.0030063057687328416, 'stop_loss': 0.005846881377364895, 'take_profit': 0.022836138643243256, 'max_hold_minutes': 44, 'min_volume': 2319, 'trailing_stop': 0.007852548802465014, 'max_trades_per_day': 2}",3.642884985786809e-05,0.4,5,-8.714775043412078e-06,-6.971566059344382e-06
1,"{'vwap_dev_threshold': 0.0012722161445356238, 'stop_loss': 0.005775452853951727, 'take_profit': 0.029271692119288685, 'max_hold_minutes': 21, 'min_volume': 4202, 'trailing_stop': 0.007460131722032901, 'max_trades_per_day': 3}",0.0001767859287681985,0.125,8,-0.0001458286077943416,-3.645070683711793e-05
2,"{'vwap_dev_threshold': 0.004956398412543417, 'stop_loss': 0.011467079920651983, 'take_profit': 0.019941700623332476, 'max_hold_minutes': 25, 'min_volume': 4143, 'trailing_stop': 0.006593091400063, 'max_trades_per_day': 4}",4.0075059164647626e-05,0.2222222222222222,9,-6.9822623557283196e-06,-3.1031033516228042e-06
3,"{'vwap_dev_threshold': 0.004072599974500997, 'stop_loss': 0.0077317576636513575, 'take_profit': 0.02951918110194092, 'max_hold_minutes': 22, 'min_volume': 4929, 'trailing_stop': 0.009793292682899017, 'max_trades_per_day': 2}",3.518701853401656e-05,0.4,5,8.25473193990262e-06,6.6035531843974865e-06
4,"{'vwap_dev_threshold': 0.0035042971665115415, 'stop_loss': 0.015277832529007492, 'take_profit': 0.031009588098847025, 'max_hold_minutes': 36, 'min_volume': 4081, 'trailing_stop': 0.009969016707007767, 'max_trades_per_day': 4}",0.00014730187839768802,0.3333333333333333,6,-0.000104085312778082,-6.937998721066412e-05
5,"{'vwap_dev_threshold': 0.004986793380188373, 'stop_loss': 0.008266906480828985, 'take_profit': 0.026294737353361054, 'max_hold_minutes': 43, 'min_volume': 2256, 'trailing_stop': 0.006014476591692484, 'max_trades_per_day': 3}",5.023540774567079e-05,0.2857142857142857,7,-1.6001525007699212e-06,-9.143269236894799e-07
6,"{'vwap_dev_threshold': 0.002615944892097856, 'stop_loss': 0.01097758349184983, 'take_profit': 0.029456987352743838, 'max_hold_minutes': 49, 'min_volume': 2346, 'trailing_stop': 0.004914004443519719, 'max_trades_per_day': 4}",4.335074046178555e-05,0.36363636363636365,11,-2.023104829604863e-05,-1.4712851829181586e-05
7,"{'vwap_dev_threshold': 0.003391919413586953, 'stop_loss': 0.015501888134451337, 'take_profit': 0.028295580279746865, 'max_hold_minutes': 38, 'min_volume': 4747, 'trailing_stop': 0.006472776051771, 'max_trades_per_day': 3}",4.736927236746126e-05,0.5,8,9.587610777940785e-05,9.587156619794491e-05
8,"{'vwap_dev_threshold': 0.004672101153771231, 'stop_loss': 0.010102724299884886, 'take_profit': 0.028034093134937883, 'max_hold_minutes': 35, 'min_volume': 4405, 'trailing_stop': 0.009353909762668578, 'max_trades_per_day': 4}",2.8988893836020174e-05,0.42857142857142855,7,1.698635189121746e-05,1.4559308121999277e-05
9,"{'vwap_dev_threshold': 0.0029817069153853775, 'stop_loss': 0.0071273662529207065, 'take_profit': 0.02436895152031002, 'max_hold_minutes': 43, 'min_volume': 617, 'trailing_stop': 0.00402067260332829, 'max_trades_per_day': 2}",2.0919593420920253e-05,0.6,5,1.4590495598544431e-05,1.7508228445570443e-05
10,"{'vwap_dev_threshold': 0.0018855457450525372, 'stop_loss': 0.01988558605185356, 'take_profit': 0.03987134532770747, 'max_hold_minutes': 57, 'min_volume': 3227, 'trailing_stop': 0.003125491459288767, 'max_trades_per_day': 5}",4.831228710970902e-05,0.6428571428571429,14,0.00011848402952031095,0.00015232924965324712
11,"{'vwap_dev_threshold': 0.0014921956509564877, 'stop_loss': 0.019772411421696008, 'take_profit': 0.03923952625113862, 'max_hold_minutes': 60, 'min_volume': 3296, 'trailing_stop': 0.00341197931912249, 'max_trades_per_day': 5}",4.520457659792273e-05,0.5714285714285714,14,0.00011199610015272031,0.0001279897570473512
12,"{'vwap_dev_threshold': 0.0015139667400658264, 'stop_loss': 0.019549632284061983, 'take_profit': 0.03994699646622228, 'max_hold_minutes': 60, 'min_volume': 3255, 'trailing_stop': 0.003058005269063102, 'max_trades_per_day': 5}",4.831240286790691e-05,0.6428571428571429,14,0.00011608793040576162,0.00014924869961001398
13,"{'vwap_dev_threshold': 0.0018380746044289133, 'stop_loss': 0.01905868357076813, 'take_profit': 0.0392734557807622, 'max_hold_minutes': 60, 'min_volume': 3252, 'trailing_stop': 0.0031186337586509047, 'max_trades_per_day': 5}",4.831228710970902e-05,0.6428571428571429,14,0.00011848402952031095,0.00015232924965324712
14,"{'vwap_dev_threshold': 0.002136787689368848, 'stop_loss': 0.01672747993585753, 'take_profit': 0.013066173871529141, 'max_hold_minutes': 53, 'min_volume': 3150, 'trailing_stop': 0.004531722494826748, 'max_trades_per_day': 5}",7.131190947202496e-05,0.38461538461538464,13,6.544414555558198e-05,5.033806046815281e-05
15,"{'vwap_dev_threshold': 0.0020294582762202017, 'stop_loss': 0.017868111513474276, 'take_profit': 0.035365916812468354, 'max_hold_minutes': 54, 'min_volume': 1401, 'trailing_stop': 0.004894960601289211, 'max_trades_per_day': 5}",5.507825272251901e-05,0.46153846153846156,13,8.294889056591374e-05,7.656398943319025e-05
16,"{'vwap_dev_threshold': 0.0020696731723638434, 'stop_loss': 0.01396815619592969, 'take_profit': 0.03497787876351083, 'max_hold_minutes': 55, 'min_volume': 3625, 'trailing_stop': 0.003838580420622687, 'max_trades_per_day': 5}",6.120188949183124e-05,0.46153846153846156,13,7.709882762946138e-05,7.116379295587648e-05
17,"{'vwap_dev_threshold': 0.001818013062876952, 'stop_loss': 0.017722837544186517, 'take_profit': 0.034809482906268355, 'max_hold_minutes': 50, 'min_volume': 1661, 'trailing_stop': 0.005436901745312991, 'max_trades_per_day': 5}",6.320105196211795e-05,0.46153846153846156,13,7.749334554331314e-05,7.152779804525054e-05
18,"{'vwap_dev_threshold': 0.0010261944216395289, 'stop_loss': 0.013594864027370774, 'take_profit': 0.037066723346471896, 'max_hold_minutes': 60, 'min_volume': 2637, 'trailing_stop': 0.003005518638600758, 'max_trades_per_day': 4}",2.313765392752111e-05,0.6363636363636364,11,1.559318442587341e-05,1.9845411900578137e-05
19,"{'vwap_dev_threshold': 0.0024995503482380843, 'stop_loss': 0.01817807922740032, 'take_profit': 0.03269958997061389, 'max_hold_minutes': 30, 'min_volume': 3684, 'trailing_stop': 0.0041399038661942365, 'max_trades_per_day': 5}",6.029770374570505e-05,0.38461538461538464,13,9.045351598801011e-05,6.957543219130794e-05
