trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.004331746866241238, 'stop_loss': 0.00812314829830553, 'take_profit': 0.03132749803184172, 'max_hold_minutes': 32, 'min_volume': 4692, 'trailing_stop': 0.007678676474951174, 'max_trades_per_day': 2}",7.095962491002865e-05,0.125,8,-6.475023112097803e-05,-1.6186409117216213e-05
1,"{'vwap_dev_threshold': 0.00488559596704894, 'stop_loss': 0.016284523118742865, 'take_profit': 0.014080249416514801, 'max_hold_minutes': 28, 'min_volume': 1255, 'trailing_stop': 0.004619771872094272, 'max_trades_per_day': 2}",5.689840596009162e-05,0.125,8,-5.3082927793710855e-05,-1.3269976864933924e-05
2,"{'vwap_dev_threshold': 0.0012288732814975348, 'stop_loss': 0.008715687081992713, 'take_profit': 0.024190807961610973, 'max_hold_minutes': 40, 'min_volume': 1425, 'trailing_stop': 0.009548718487193308, 'max_trades_per_day': 2}",5.8687131305733955e-05,0.2222222222222222,9,-5.361766327129616e-05,-2.3828674046422867e-05
3,"{'vwap_dev_threshold': 0.0019449376374756746, 'stop_loss': 0.01938083869072384, 'take_profit': 0.025487567347046762, 'max_hold_minutes': 60, 'min_volume': 3261, 'trailing_stop': 0.0067777614745379855, 'max_trades_per_day': 5}",0.00015386724607975339,0.3333333333333333,21,-0.0001458990599101466,-9.725107388239506e-05
4,"{'vwap_dev_threshold': 0.0017955419746680358, 'stop_loss': 0.013620841581641646, 'take_profit': 0.034963265853007255, 'max_hold_minutes': 57, 'min_volume': 1721, 'trailing_stop': 0.007538098547815391, 'max_trades_per_day': 2}",6.956671702943176e-05,0.2222222222222222,9,-6.780118536830122e-05,-3.013176384996642e-05
5,"{'vwap_dev_threshold': 0.0033856299002394444, 'stop_loss': 0.010727375319127272, 'take_profit': 0.027379392848199707, 'max_hold_minutes': 43, 'min_volume': 4162, 'trailing_stop': 0.0038864677192059953, 'max_trades_per_day': 2}",5.958818193001207e-05,0.0,8,-5.958995737621401e-05,-0.0
6,"{'vwap_dev_threshold': 0.0019994257778685473, 'stop_loss': 0.01257585478495225, 'take_profit': 0.0318292737430844, 'max_hold_minutes': 39, 'min_volume': 1317, 'trailing_stop': 0.0076526530374188976, 'max_trades_per_day': 5}",0.00017693139105962472,0.23809523809523808,21,-0.00016645765332579088,-7.9251524638874e-05
7,"{'vwap_dev_threshold': 0.0027367614089755105, 'stop_loss': 0.008658876108361998, 'take_profit': 0.023851574161399165, 'max_hold_minutes': 44, 'min_volume': 2204, 'trailing_stop': 0.008889805692885819, 'max_trades_per_day': 3}",4.9098165910108944e-05,0.23076923076923078,13,-2.5461740067544088e-05,-1.1750995358218103e-05
8,"{'vwap_dev_threshold': 0.003664110956760461, 'stop_loss': 0.018764412264960874, 'take_profit': 0.0367838958871448, 'max_hold_minutes': 23, 'min_volume': 1980, 'trailing_stop': 0.004744571109563916, 'max_trades_per_day': 2}",6.783143880995339e-05,0.125,8,-6.7833739466035e-05,-1.695728455147179e-05
9,"{'vwap_dev_threshold': 0.004890157258018205, 'stop_loss': 0.014792069395545778, 'take_profit': 0.026530249946940747, 'max_hold_minutes': 55, 'min_volume': 3879, 'trailing_stop': 0.003342488123038369, 'max_trades_per_day': 3}",7.777916858948185e-05,0.3333333333333333,12,-5.241211747091337e-05,-3.4938693933328304e-05
10,"{'vwap_dev_threshold': 0.0032261501707497734, 'stop_loss': 0.006126970160360084, 'take_profit': 0.014348265237631408, 'max_hold_minutes': 47, 'min_volume': 4880, 'trailing_stop': 0.0032445837865061034, 'max_trades_per_day': 4}",0.00010099192610010506,0.0,16,-0.00010099702612808178,-0.0
11,"{'vwap_dev_threshold': 0.0031908728605166753, 'stop_loss': 0.005016517339551295, 'take_profit': 0.011777489343042031, 'max_hold_minutes': 48, 'min_volume': 4951, 'trailing_stop': 0.0030186021628891783, 'max_trades_per_day': 4}",0.00010099192610010506,0.0,16,-0.00010099702612808178,-0.0
12,"{'vwap_dev_threshold': 0.0036538580285963226, 'stop_loss': 0.006024939871901974, 'take_profit': 0.018658453814353788, 'max_hold_minutes': 47, 'min_volume': 4260, 'trailing_stop': 0.004728726817548836, 'max_trades_per_day': 4}",0.00011315014300009352,0.125,16,-0.00011315654496041939,-2.828593532029393e-05
13,"{'vwap_dev_threshold': 0.0027683676698530097, 'stop_loss': 0.010866581316814498, 'take_profit': 0.017557593013449845, 'max_hold_minutes': 16, 'min_volume': 3416, 'trailing_stop': 0.0039048800204580653, 'max_trades_per_day': 4}",0.00012247425096007644,0.058823529411764705,17,-0.00012248175154362437,-1.4407853021511504e-05
14,"{'vwap_dev_threshold': 0.0036470545863061033, 'stop_loss': 0.010278631841920674, 'take_profit': 0.019017272979113067, 'max_hold_minutes': 51, 'min_volume': 4270, 'trailing_stop': 0.005778407637980393, 'max_trades_per_day': 3}",4.3879193870088783e-05,0.25,12,-7.923964374625636e-06,-3.961808338728311e-06
15,"{'vwap_dev_threshold': 0.0031546894984483425, 'stop_loss': 0.007350778707446472, 'take_profit': 0.029656906722925737, 'max_hold_minutes': 32, 'min_volume': 2866, 'trailing_stop': 0.005733531032488558, 'max_trades_per_day': 4}",0.0001196630020000157,0.1875,16,-0.00011192799570444537,-4.196797577417682e-05
16,"{'vwap_dev_threshold': 0.004120172423381943, 'stop_loss': 0.010625217848457644, 'take_profit': 0.03957280098669294, 'max_hold_minutes': 43, 'min_volume': 686, 'trailing_stop': 0.003979614236488488, 'max_trades_per_day': 3}",3.262542690994451e-05,0.25,12,3.8195017156553435e-06,1.9096885513906433e-06
17,"{'vwap_dev_threshold': 0.004294787791267714, 'stop_loss': 0.010924136148813208, 'take_profit': 0.03933426546734218, 'max_hold_minutes': 35, 'min_volume': 715, 'trailing_stop': 0.004165303919971663, 'max_trades_per_day': 3}",2.9140414077812988e-05,0.4166666666666667,12,1.560235032283183e-05,1.3001579719902364e-05
18,"{'vwap_dev_threshold': 0.004338417757231838, 'stop_loss': 0.015845739678177134, 'take_profit': 0.0392729606456426, 'max_hold_minutes': 33, 'min_volume': 663, 'trailing_stop': 0.005660769430888249, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.4166666666666667,12,1.3290367742804612e-05,1.107493837263447e-05
19,"{'vwap_dev_threshold': 0.00430140229446297, 'stop_loss': 0.016675007217208798, 'take_profit': 0.038009626730890186, 'max_hold_minutes': 34, 'min_volume': 662, 'trailing_stop': 0.005638017225337576, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.4166666666666667,12,1.3290367742804612e-05,1.107493837263447e-05
20,"{'vwap_dev_threshold': 0.004576023373468204, 'stop_loss': 0.015100545720739315, 'take_profit': 0.034394795677906695, 'max_hold_minutes': 25, 'min_volume': 984, 'trailing_stop': 0.006353563349691716, 'max_trades_per_day': 3}",3.8040524935609766e-05,0.5,12,5.6899558921177505e-06,5.689739443208754e-06
21,"{'vwap_dev_threshold': 0.004099950182096197, 'stop_loss': 0.017123294625036273, 'take_profit': 0.038368441407394746, 'max_hold_minutes': 32, 'min_volume': 546, 'trailing_stop': 0.005439414982151902, 'max_trades_per_day': 3}",4.073538390992326e-05,0.3333333333333333,12,2.113913805896573e-06,1.4092184632040915e-06
22,"{'vwap_dev_threshold': 0.004529098073061251, 'stop_loss': 0.01783613164067491, 'take_profit': 0.03649370204701386, 'max_hold_minutes': 35, 'min_volume': 885, 'trailing_stop': 0.005128142202448581, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.4166666666666667,12,1.5349234170020036e-05,1.2790603374548492e-05
23,"{'vwap_dev_threshold': 0.004617769808142356, 'stop_loss': 0.018595297007997346, 'take_profit': 0.035270051969834314, 'max_hold_minutes': 36, 'min_volume': 920, 'trailing_stop': 0.00507636888486392, 'max_trades_per_day': 3}",3.3234267989901125e-05,0.3333333333333333,12,1.1752882904690995e-05,7.834994870820591e-06
24,"{'vwap_dev_threshold': 0.003965340038757128, 'stop_loss': 0.01754390221908281, 'take_profit': 0.03328927906455789, 'max_hold_minutes': 28, 'min_volume': 1616, 'trailing_stop': 0.006450555151771651, 'max_trades_per_day': 3}",4.1085063879872905e-05,0.3333333333333333,12,-1.1131575915578001e-05,-7.42074571604695e-06
25,"{'vwap_dev_threshold': 0.004568777734365083, 'stop_loss': 0.015201341455403791, 'take_profit': 0.039200272281307486, 'max_hold_minutes': 20, 'min_volume': 984, 'trailing_stop': 0.004454245106216677, 'max_trades_per_day': 4}",0.0001004891379699984,0.25,16,-9.423642409229157e-05,-4.711347717763458e-05
26,"{'vwap_dev_threshold': 0.003875421599910964, 'stop_loss': 0.013157895495438872, 'take_profit': 0.03998861685069512, 'max_hold_minutes': 38, 'min_volume': 2330, 'trailing_stop': 0.006834244291573328, 'max_trades_per_day': 3}",4.303621385988663e-05,0.25,12,-1.0196654875631156e-05,-5.098108025105636e-06
27,"{'vwap_dev_threshold': 0.004941720607739958, 'stop_loss': 0.014100502583694611, 'take_profit': 0.03658046279316637, 'max_hold_minutes': 28, 'min_volume': 501, 'trailing_stop': 0.00620768676651272, 'max_trades_per_day': 3}",7.48790598497872e-05,0.45454545454545453,11,-4.301683023089102e-05,-3.910328106462328e-05
