trial_number,params,max_drawdown,win_rate,total_trades,compound_return,score
0,"{'vwap_dev_threshold': 0.004493628354330757, 'stop_loss': 0.01798351039867491, 'take_profit': 0.014428481099160185, 'max_hold_minutes': 31, 'min_volume': 663, 'trailing_stop': 0.003549873923786892, 'max_trades_per_day': 2}",6.716765743738397e-05,0.4,5,8.509995901591927e-05,6.807539444081932e-05
1,"{'vwap_dev_threshold': 0.003654233644017283, 'stop_loss': 0.012805524446294703, 'take_profit': 0.03964455000159476, 'max_hold_minutes': 49, 'min_volume': 2844, 'trailing_stop': 0.008238334726137896, 'max_trades_per_day': 5}",0.00031027126633925104,0.0,5,-0.0002477921180111262,-0.0
2,"{'vwap_dev_threshold': 0.004045778010509743, 'stop_loss': 0.006645814404929078, 'take_profit': 0.016952288155230352, 'max_hold_minutes': 32, 'min_volume': 3921, 'trailing_stop': 0.008904075076773564, 'max_trades_per_day': 2}",0.0002899128166226142,0.0,5,-0.00022753449028877705,-0.0
3,"{'vwap_dev_threshold': 0.001167640222803552, 'stop_loss': 0.008604596604903526, 'take_profit': 0.033659132339427196, 'max_hold_minutes': 54, 'min_volume': 3913, 'trailing_stop': 0.00729656409674525, 'max_trades_per_day': 5}",0.00017090386638571236,0.23076923076923078,13,-0.00014789997474213163,-6.824986064520455e-05
4,"{'vwap_dev_threshold': 0.0014072214571381365, 'stop_loss': 0.00926415515713545, 'take_profit': 0.010780421953438861, 'max_hold_minutes': 23, 'min_volume': 1720, 'trailing_stop': 0.0056280951440640615, 'max_trades_per_day': 3}",0.00018281564369732024,0.2,10,-0.00017641672425519871,-7.055378900727802e-05
5,"{'vwap_dev_threshold': 0.0021171911144988237, 'stop_loss': 0.017949739786970915, 'take_profit': 0.010355916208021685, 'max_hold_minutes': 52, 'min_volume': 2966, 'trailing_stop': 0.007672461110990494, 'max_trades_per_day': 2}",0.00024291617078372148,0.16666666666666666,6,-0.00021038728977388715,-7.011206109969123e-05
6,"{'vwap_dev_threshold': 0.001839331109065204, 'stop_loss': 0.013078889199897196, 'take_profit': 0.025449363305861887, 'max_hold_minutes': 43, 'min_volume': 2737, 'trailing_stop': 0.0053441843283041435, 'max_trades_per_day': 5}",0.0003604140743784318,0.09090909090909091,11,-0.00034601962267512086,-6.288998406056321e-05
7,"{'vwap_dev_threshold': 0.0012678482936149744, 'stop_loss': 0.0188518807424577, 'take_profit': 0.024716408386436503, 'max_hold_minutes': 35, 'min_volume': 852, 'trailing_stop': 0.006279051668336521, 'max_trades_per_day': 4}",0.00043696919039022756,0.1111111111111111,9,-0.0004322054076927432,-9.600367716570252e-05
9,"{'vwap_dev_threshold': 0.0018851326074427505, 'stop_loss': 0.009137863194781545, 'take_profit': 0.030610461256421688, 'max_hold_minutes': 17, 'min_volume': 4942, 'trailing_stop': 0.004849788193466344, 'max_trades_per_day': 4}",0.0003879947116981199,0.1111111111111111,9,-0.000373610450593583,-8.2992331492115e-05
12,"{'vwap_dev_threshold': 0.004042302408954561, 'stop_loss': 0.015797713236479126, 'take_profit': 0.02692079122667297, 'max_hold_minutes': 45, 'min_volume': 2088, 'trailing_stop': 0.0035254229576645204, 'max_trades_per_day': 3}",9.550435352266478e-05,0.42857142857142855,7,-2.7498698845631263e-05,-2.356806222872168e-05
13,"{'vwap_dev_threshold': 0.003031064905997153, 'stop_loss': 0.011431078503636047, 'take_profit': 0.021330724047002078, 'max_hold_minutes': 60, 'min_volume': 3645, 'trailing_stop': 0.007729283355376352, 'max_trades_per_day': 5}",0.0003153089955429264,0.0,5,-0.00027820512391677057,-0.0
15,"{'vwap_dev_threshold': 0.003368672194531146, 'stop_loss': 0.019490808100428768, 'take_profit': 0.030374170264131986, 'max_hold_minutes': 41, 'min_volume': 3273, 'trailing_stop': 0.0040621884150964386, 'max_trades_per_day': 4}",0.00012852525518628464,0.4,10,-0.00010590846754344221,-8.471588450449985e-05
17,"{'vwap_dev_threshold': 0.002481863298326815, 'stop_loss': 0.014780903942250102, 'take_profit': 0.02210812919236804, 'max_hold_minutes': 17, 'min_volume': 1440, 'trailing_stop': 0.008431834627410047, 'max_trades_per_day': 5}",0.0002916247315387648,0.14285714285714285,7,-0.00025910863567336787,-7.400944948201434e-05
18,"{'vwap_dev_threshold': 0.0035329632744490434, 'stop_loss': 0.005097382967399276, 'take_profit': 0.03969843229313978, 'max_hold_minutes': 24, 'min_volume': 2139, 'trailing_stop': 0.006555477787911772, 'max_trades_per_day': 3}",0.0001558010974099551,0.2857142857142857,7,-7.527346335587978e-05,-4.300670609581891e-05
19,"{'vwap_dev_threshold': 0.0028062577357527334, 'stop_loss': 0.017659913377069732, 'take_profit': 0.029942687157011174, 'max_hold_minutes': 57, 'min_volume': 2329, 'trailing_stop': 0.004406195558186378, 'max_trades_per_day': 4}",0.00027811039740166787,0.3,10,-0.00026321625743957474,-0.00015788583255696938
20,"{'vwap_dev_threshold': 0.004556234363756422, 'stop_loss': 0.012467471539302893, 'take_profit': 0.021866155591331937, 'max_hold_minutes': 40, 'min_volume': 1220, 'trailing_stop': 0.003120172665274607, 'max_trades_per_day': 5}",8.126392750177287e-05,0.2,5,-5.3183474065940084e-05,-2.127166086718372e-05
22,"{'vwap_dev_threshold': 0.0037878814689436134, 'stop_loss': 0.0050231858044501995, 'take_profit': 0.013704544390626, 'max_hold_minutes': 32, 'min_volume': 4037, 'trailing_stop': 0.008537945707734603, 'max_trades_per_day': 2}",0.00020482160733130712,0.0,6,-0.00014231580614400984,-0.0
24,"{'vwap_dev_threshold': 0.00310337499033787, 'stop_loss': 0.014531312167865771, 'take_profit': 0.012241220715521854, 'max_hold_minutes': 27, 'min_volume': 3420, 'trailing_stop': 0.008260074626008161, 'max_trades_per_day': 2}",0.0003276543567429493,0.0,5,-0.0002888557201968582,-0.0
